paper_id,title,year,cited_by_count,field,patent_count
W4376469821,Paper W4376469821,2013,0,Computer science,0
W580705768,Paper W580705768,2011,0,Computer science,0
W103188550,Paper W103188550,2013,0,Geology,0
W152846797,Paper W152846797,2004,0,Computer science,0
W1997876887,Paper W1997876887,2010,0,Computer science,0
W2028980580,Paper W2028980580,2005,0,Art,0
W2289774588,Paper W2289774588,2015,0,Library science,0
W2475824971,Paper W2475824971,2012,7,Psychology,0
W2044448171,Paper W2044448171,2000,3,Computer science,1
W4240753943,Paper W4240753943,2011,0,Computer science,0
W4245136458,Paper W4245136458,2001,0,Computer science,0
W4251151114,Paper W4251151114,2020,0,Computer science,0
W4254426852,Paper W4254426852,2020,0,Geography,0
W2092997999,Paper W2092997999,2007,12,Computer science,0
W205468973,Paper W205468973,2007,5,History,0
W2118372277,Paper W2118372277,2006,1,Philosophy,0
W2332433426,Paper W2332433426,2004,1,Sociology,0
W4251795103,Paper W4251795103,2008,1,Political science,0
W1530463898,Paper W1530463898,2007,0,Computer science,0
W2059014829,Paper W2059014829,2004,0,Mathematics,0
W2063355031,Paper W2063355031,2008,0,Psychology,0
W2091479400,Paper W2091479400,2005,0,Medicine,0
W2109256180,Paper W2109256180,2006,0,Medicine,0
W2593517576,Paper W2593517576,2001,0,Medicine,0
W4214731103,Paper W4214731103,2013,0,Computer science,0
W4229751757,Paper W4229751757,2007,0,Computer science,0
W4231655126,Paper W4231655126,2016,0,Mechanics,0
W4232230904,Paper W4232230904,2004,0,Sociology,0
W4235217593,Paper W4235217593,2011,0,Computer science,0
W4238814286,Paper W4238814286,2015,0,History,0
W4246635372,Paper W4246635372,2008,0,Business,0
W4249361261,Paper W4249361261,2007,0,Environmental science,0
W4251905151,Paper W4251905151,2015,0,Materials science,0
W4254230696,Paper W4254230696,2000,0,Computer science,0
W4255664353,Paper W4255664353,2013,0,History,0
W4297928117,Paper W4297928117,2009,0,Humanities,0
W4388928187,Paper W4388928187,2007,0,Political science,0
W614428307,Paper W614428307,2010,0,Art,0
W3020871668,Paper W3020871668,2006,0,Medicine,0
W3021390258,Paper W3021390258,2006,0,Medicine,0
W3021686746,Paper W3021686746,2006,0,Medicine,0
W3021838274,Paper W3021838274,2005,0,Medicine,0
W3021886750,Paper W3021886750,2006,0,Medicine,0
W3023192929,Paper W3023192929,2006,0,Materials science,0
W3023713505,Paper W3023713505,2005,0,Medicine,0
W3087977426,Paper W3087977426,2015,0,Environmental science,0
W4230468538,Paper W4230468538,2011,0,Medicine,0
W4231973502,Paper W4231973502,2005,0,Medicine,0
W4236523035,Paper W4236523035,2018,0,Cell biology,0
W4237184669,Paper W4237184669,2014,0,Cell biology,0
W4238561069,Paper W4238561069,2007,0,Medicine,0
W4241155290,Paper W4241155290,2002,0,Medicine,0
W4254604745,Paper W4254604745,2004,0,Medicine,0
W2141290335,Paper W2141290335,2000,1,Materials science,0
W1009147951,Paper W1009147951,2000,0,Computer science,0
W144505318,Paper W144505318,2002,0,Mathematics,0
W1590644078,Paper W1590644078,2008,0,Sociology,0
W1859774294,Paper W1859774294,2011,0,Materials science,0
W2146638447,Paper W2146638447,2005,0,History,0
W2206594201,Paper W2206594201,2006,0,Geology,0
